Main,Count,AdditionalTerms,AllowPartial
Tren de Aragua,1,,
Ford,1,,
Weave,1,,
Border,25,,
Border,35,,
Kamala,30,,
Million,10,,
China,10,Chinese,
Maga,4,Make america great again,
American dream,3,,
North Carolina,2,,
Hurricane,2,,
Barack Hussein Obama,1,,
Insane Asylum,1,,
Tampon,1,,
Trans,1,,1
Crypto,1,"Crypto,Bitcoin",
Reagan,1,,
JD Vance,1,J.D. Vance,
Tesla,1,,
Elon,1,,
