Main,Count,AdditionalTerms
Border,20,
Border,30,
Kamala,20,
Tax,15,
Million,10,
Maga,3,Make america great again
black men,1,
china,10,
inflation,5,
kamalanomics,1,
bidenomics,1,
trans,1,
dark maga,1,
defund the police,1,
McDonald's,1,
Crypto,1,"crypto,bitcoin"
elon,1,
